autor_original	autor_normalizado
Heredia (D. Alonso)	Heredia (D Alonso)
Heredia (D.° Diego Nicolás)	Heredia (D.° Diego Nicolás)
Heredia (Fran. Fern.)	Heredia (Fran Fern.)
Herenthalemi (et magni)	Herenthalemi (et magni)
Hericourt (Jean-Louis)	Hericourt (Juan-Luis)
Heringii (Jo.)	Heringii (Jo.)
Hermani (Jo.)	Hermani (Jo.)
Hermej (Hermannio)	Hermej (Hermannio)
Hermeni (Jo.)	Hermeni (Jo.)
Hermosilla (D. D. Gasparus)	Hermosilla (D D Gasparus)
Hernandez (Francisci)	Hernandez (Francisco)
Hernandez Oviedo (Gonzalo)	Hernandez Oviedo (Gonzalo)
Hernandez (P. Franc. Xabier)	Hernandez (P Franc Xabier)
Herrera (Alonso)	Herrera (Alonso)
Herrera (Christoval Perez)	Herrera (Christoval Perez)
Herrera (D. Antonio María)	Herrera (D Antonio María)
Herrera (D. Francisco)	Herrera (D Francisco)
Herrera (D. Francisco Manuel)	Herrera (D Francisco Manuel)
Herrera (D.D. Alejandro)	Herrera (D Alejandro)
Herrera (Dn. Bernardino)	Herrera (Dn Bernardino)
Herrera (Dr. Antonio)	Herrera (Dr Antonio)
Herrera (Enrique)	Herrera (Enrique)
Herrera (F. Thomas B.)	Herrera (F Tomás B.)
Herrera (F.D. Francisco)	Herrera (F.D Francisco)
Herrera (Femino)	Herrera (Femino)
Herrera (Ferdinandus)	Herrera (Ferdinandus)
Herrera (Hermano D. Pedro)	Herrera (Hermano D Pedro)
Herrera (Luis Alfonso)	Herrera (Luis Alfonso)
Herrera (P. Agustin)	Herrera (P Agustin)
Herrera (P. Juan)	Herrera (P Juan)
Herteno (P.D. Benito)	Herteno (D Benito)
Herweti (Aurelii Gentianus)	Herweti (Aurelii Gentianus)
Herze (P. Manc.)	Herze (P Manc.)
Hewmani (Christophori Augusti)	Hewmani (Christophori Augusti)
Hibernici (Thomae)	Hibernici (Tomás)
Hidalgo (Juan)	Hidalgo (Juan)
Hill (Nicolai)	Hill (Nicolás)
Hirsch (Jo.)	Hirsch (Jo.)
Histemberg (Joachimi)	Histemberg (Joachimi)
Hobbes (Thomas)	Hobbes (Tomás)
Hoenerii (Philipp. Henr.)	Hoenerii (Philipp Henr.)
Hoepingkii (Theodori)	Hoepingkii (Theodori)
Hoffmanni (Christ. Gdof.)	Hoffmanni (Christ Gdof.)
Holcandri (Fred.)	Holcandri (Fred.)
Hombergk (To. Fridericus)	Hombergk (To Fridericus)
Homelius (Carolus Ferdin.)	Homelius (Carlos Ferdin.)
Honcala (Antonii)	Honcala (Antonio)
Hondt (Abrahami)	Hondt (Abrahami)
Hoppii (Joachimi)	Hoppii (Joachimi)
Horati (Quinti Hac.)	Horati (Quinti Hac.)
Horatius (Georgii)	Horatius (Jorge)
Horne (cux)	Horne (cux)
Hornii (J. F.)	Hornii (J F.)
Horozco y Ceballos (D. Juan)	Horozco y Ceballos (D Juan)
Hortegas (D. Casimiro)	Hortegas (D Casimiro)
Hoschii (Sydonii)	Hoschii (Sydonii)
Hospitalii (Micaelis)	Hospitalii (Micaelis)
Hotmanus (Franciscus)	Hotmanus (Francisco)
Hourraie (Amelot de la)	Hourraie (Amelot de la)
Huarte (Juan)	Huarte (Juan)
Hubeni (Vnici)	Hubeni (Vnici)
Hubner (Joh.)	Hubner (Joh.)
Huerta (D. Vic. García de la)	Huerta (D Vic García de la)
Huerta (Fr. Anselmo)	Huerta (Fr Anselmo)
Huerta (Lic. Eronimo)	Huerta (Lic Eronimo)
Huerta y Vega (Dr. Francisco Xavier)	Huerta y Vega (Dr Francisco Xavier)
Hulsius (Levinus)	Hulsius (Levinus)
Humada (Dominicus Bartholom.)	Humada (Dominicus Bartholom.)
Hume (Mr. David)	Hume (Mr David)
Hurtado (D. Pedro)	Hurtado (D Pedro)
Hurtado de Mendoza (D. Ant.°)	Hurtado de Mendoza (D Ant.°)
Hurtado (Gaspar)	Hurtado (Gaspar)
Hurtado (Thomas)	Hurtado (Tomás)
Hygini (Cajii Iulii)	Hygini (Cajii Iulii)
Ianez Tassendo (D. Didacus)	Ianez Tassendo (D Didacus)
Ibáñez (D. Gaspar)	Ibáñez (D Gaspar)
Ibáñez de Segovia (D. Gaspar)	Ibáñez de Segovia (D Gaspar)
Ibáñez Riva (Exmo. Señor D. Antonio)	Ibáñez Riva (D Antonio)
Imhof (Joa Hexonimi)	Imhof (Joa Hexonimi)
Imperialis (D. To.)	Imperialis (D To.)
Indice Christiani (Gottlieb)	Indice Christiani (Gottlieb)
Ininitii (Vincentii)	Ininitii (Vincentii)
Innocentius (III Sum. Pontif.)	Innocentius (III Sum Pontif.)
Ivonius (Episcopi Iarnutensis)	Ivonius (Episcopi Iarnutensis)
Jacob. (P. Lovid.)	Jacob (P Lovid.)
Jacobi. (Ferdinandi)	Jacobo (Ferdinandi)
Jacquier. (Fr. Franc.)	Jacquier (Fr Franc.)
Jägeri. (Fr.)	Jägeri (Fr.)
Jamanií (Iosephi Aurelii)	Jamanií (Iosephi Aurelii)
Jamin. (P.D. Nicolás)	Jamin (D Nicolás)
Jansorii (Theodori)	Jansorii (Theodori)
Jarava (Juan)	Jarava (Juan)
Jauchii (Sigism. Reich)	Jauchii (Sigism Reich)
Jchonnovii (Florentii)	Jchonnovii (Florentii)
Jenichen. (Golt. Augusti)	Jenichen (Golt Augusti)
Jensii (Jo.)	Jensii (Jo.)
Jesu et Maria (Fr. Agustin de)	Jesu et Maria (Fr Agustin de)
Jesu et Maria (Jo. a.)	Jesu et Maria (Jo a.)
Jiron (D.D. Martin)	Jiron (D Martin)
Joinville (Jean)	Joinville (Juan)
Josephi Judaei (Flavii)	Josephi Judaei (Flavii)
Jove y Muñoz (D. Juan de)	Jove y Muñoz (D Juan de)
Joven (Francisco)	Joven (Francisco)
Jover Alcazar (D. Blas)	Jover Alcazar (D Blas)
Juan (D. Jorge)	Juan (D Jorge)
Juan Manuel (El Conde, Príncipe D.)	Juan Manuel (El Príncipe D.)
Juglarius (Aloysii)	Juglarius (Aloysii)
Junco (D. Pedro de)	Junco (D Pedro de)
Juni (Adriani)	Juni (Adriani)
Juniei (Petri)	Juniei (Pedro)
Junii (Melchioris)	Junii (Melchioris)
Junior (Hieronimi)	Junior (Hieronimi)
Junquius (F. Henr.)	Junquius (F Henr.)
Junycheni (Melchioris)	Junycheni (Melchioris)
Justelli (Hemani)	Justelli (Hemani)
Justiniani (Imperatoris)	Justiniani (Imperatoris)
Kaeretii (Jacobi)	Kaeretii (Jacobo)
Kauffmann (Jo. Josephi)	Kauffmann (Jo Josephi)
Keckermann (Bartholomaei)	Keckermann (Bartholomaei)
Keer (Jo. Georgi)	Keer (Jo Georgi)
Kelleni (Adami)	Kelleni (Adami)
Kemmerich (Hermani)	Kemmerich (Hermani)
Kestneri (c. Suillichmi)	Kestneri (c Suillichmi)
Kinckmannus (Hermannus)	Kinckmannus (Hermannus)
Kinckmannus (Jo.)	Kinckmannus (Jo.)
Kippingii (Henrici)	Kippingii (Henrici)
Kippingii (Jo.)	Kippingii (Jo.)
Kircheri (Athanasii)	Kircheri (Athanasii)
Kleckii (Jani)	Kleckii (Jani)
Knesebeck (Christian)	Knesebeck (Christian)
Koch (Henrici Andreae)	Koch (Henrici Andreae)
Koecherus (Jo. Christophorus)	Koecherus (Jo Christophorus)
Koehler (Henrici)	Koehler (Henrici)
Koelens (Jo. Davidis)	Koelens (Jo Davidis)
Kolbe (P. Gregorii)	Kolbe (P Gregorio)
Konigii (Georgii Guathiae)	Konigii (Jorge Guathiae)
Kopp (Jo. Adamus)	Kopp (Jo Adamus)
Kornmann (Henrici)	Kornmann (Henrici)
Kortholt. (Christianus)	Kortholt (Christianus)
Kraus. (Jo.)	Kraus (Jo.)
La Cerda ()	La Cerda
La Combe (Otr.)	La Combe (Otr.)
La Vallexa (El Cavallero &)	La Vallexa (El Cavallero &)
Labbe (S. Philippi)	Labbe (S Felipe)
Laertius (Diogenes)	Laertius (Diogenes)
Laet... (Jo. de)	Laet (Jo de)
Lagarni (P. Aegidii)	Lagarni (P Aegidii)
Lagrenii (Petri)	Lagrenii (Pedro)
Laguna (D. Juan)	Laguna (D Juan)
Lalingenii (Marcelli)	Lalingenii (Marcelli)
Lama (Clutio)	Lama (Clutio)
Lamazares (D. Thomás)	Lamazares (D Thomás)
Lamberti (Cler. S.)	Lamberti (Cler S.)
Lamberto (P.F.)	Lamberto (F.)
Lampadis (Iacobi)	Lampadis (Iacobi)
Lamy (P. Bernardini)	Lamy (P Bernardini)
Lancellotti (T. Paul.)	Lancellotti (T Paul.)
Lancillotti (T. Secundo)	Lancillotti (T Secundo)
Lancina (D. Juan)	Lancina (D Juan)
Landazuri y Romanate (D. Joaquin)	Landazuri y Romanate (D Joaquin)
Languer (iltmo. D. Juan Josep)	Languer (iltmo D Juan Josep)
Lanuza. (D. D. Vicente Blasco)	Lanuza (D D Vicente Blasco)
Lapide. (Hippolitus)	Lapide (Hippolitus)
Lapino. (Annamarchio)	Lapino (Annamarchio)
Lapitau (Mmo.)	Lapitau (Mmo.)
Lara. (D. Gaspar Agustin)	Lara (D Gaspar Agustin)
Largunero (D. Mathiae)	Largunero (D Mathiae)
Lascaris (Constantini)	Lascaris (Constantini)
Lasiarte (D. Vicente)	Lasiarte (D Vicente)
Laso de la Vega (Gabriel)	Laso de la Vega (Gabriel)
Lassarte et Molina (Ignatius)	Lassarte et Molina (Ignatius)
Latini (Latini)	Latini (Latini)
Latini (To.)	Latini (To.)
Laubusseil (Pierre de)	Laubusseil (Pedro de)
Laureti (Hieronimi)	Laureti (Hieronimi)
Lavanhá (João)	Lavanhá (João)
Lavanhá (Juan Bautista)	Lavanhá (Juan Bautista)
Lavarte (D. Vicente)	Lavarte (D Vicente)
Laxizabal y Sribé (D. Cruz)	Laxizabal y Sribé (D Cruz)
Laxneategui (D. Cuartini)	Laxneategui (D Cuartini)
Laxneategui et Colon (D. Franciscus)	Laxneategui et Colon (D Francisco)
Laxner (D. D. Jo.)	Laxner (D D Jo.)
Laynez (Fr. Iosef)	Laynez (Fr Iosef)
Leandrii (Jo)	Leandrii (Jo)
Lechuga (Christoval)	Lechuga (Christoval)
Legipont (P. Oliver)	Legipont (P Oliver)
Leiba y Aguilar (D. Fran.)	Leiba y Aguilar (D Fran.)
Leibnitii. (Godofredi Guil.)	Leibnitii (Godofredi Guil.)
Leibniz. (Wilhelmus)	Leibniz (Wilhelmus)
Leitão. (Francisco)	Leitão (Francisco)
Lelong. (Jacob)	Lelong (Jacob)
Lengnisch. (C.Mr.)	Lengnisch (C.Mr.)
Lengueglia (Tiov. Agustino)	Lengueglia (Tiov Agustino)
Lenni (Aulo)	Lenni (Aulo)
Leon de Pinelo (Lic. do Ant.)	Leon de Pinelo (Lic do Ant.)
Leon. (P.F. Luis)	Leon (F Luis)
Leonis. (To.)	Leonis (To.)
Lequier (Mr.)	Lequier (Mr.)
Lerdoin (M.)	Lerdoin (M.)
Leslaeo (Io.)	Leslaeo (Io.)
Leti (Gregoire)	Leti (Gregoire)
Lexici (Jo.)	Lexici (Jo.)
Lexisio Flacco (Aulo)	Lexisio Flacco (Aulo)
Leyba. (D. Joa)	Leyba (D Joa)
Leyveri (Augustini)	Leyveri (Agustín)
Liano y Cordova (D. Ignacio)	Liano y Cordova (D Ignacio)
Libientali (M. Mich.)	Libientali (M Mich.)
Liclama (Mancii)	Liclama (Mancii)
Lierobe (Christiani Sigismundi)	Lierobe (Christiani Sigismundi)
Limney (Joanes)	Limney (Joanes)
Linaci (Caroli)	Linaci (Carlos)
Linares (D. José)	Linares (D José)
Linde (D. Lorenzo Roberto de)	Linde (D Lorenzo Roberto de)
Linneo (Cav. Carlo)	Linneo (Cav Carlo)
Lipeni (Martini)	Lipeni (Martini)
Lipenio (Martino)	Lipenio (Martino)
Lipii (Justi)	Lipii (Justi)
Lipii (T.)	Lipii (T.)
Lipio (Justo)	Lipio (Justo)
Lippi (Bartholomeo)	Lippi (Bartholomeo)
Lipri (Justi)	Lipri (Justi)
Liprio (Justo)	Liprio (Justo)
Lisarraga (D. Juan de)	Lisarraga (D Juan de)
Lison (Dn. Mateo L.)	Lison (Dn Mateo L.)
Llamosa (D. Lorenzo)	Llamosa (D Lorenzo)
Llebres y Cugortien (D. Juan)	Llebres y Cugortien (D Juan)
Loaci (Hmi. Fernando)	Loaci (Hmi Fernando)
Loaisa (García)	Loaisa (García)
Loazia (Ferdinandus)	Loazia (Ferdinandus)
Lobera (D. José Pablo)	Lobera (D José Pablo)
Lobera (D. Luis)	Lobera (D Luis)
Lobera (Fr. Atanacio)	Lobera (Fr Atanacio)
Lobera y Otro (D. Antonio)	Lobera y Otro (D Antonio)
Lobon de Salazar (Licenciado D. Francisco)	Lobon de Salazar (Licenciado D Francisco)
Loccenio (Th.)	Loccenio (Th.)
Lolme (Mr. De)	Lolme (Mr De)
Lombez (F. Ambrosio)	Lombez (F Ambrosio)
Lombraña (F. Manuel de)	Lombraña (F Manuel de)
Lomedano (Pio Francisco)	Lomedano (Pio Francisco)
Lomieri (To.)	Lomieri (To.)
Lomosinus (Aldiovicus)	Lomosinus (Aldiovicus)
Londoño (P. Sancho)	Londoño (P Sancho)
Long (Jacobi)	Long (Jacobo)
Longovalti (To.)	Longovalti (To.)
Lope (D. Pedro de)	Lope (D Pedro de)
Loperii (Dominici)	Loperii (Dominici)
Lopez (D. Fernando José)	Lopez (D Fernando José)
Lopez (D. Juan Luis)	Lopez (D Juan Luis)
Lopez (D. Thomas)	Lopez (D Tomás)
Lopez de Cárdenas (D. Fernando Franco Hurtado)	Lopez de Cárdenas (D Fernando Franco Hurtado)
Lopez de Cárdenas (D. Fernando José)	Lopez de Cárdenas (D Fernando José)
Lopez de Haro (Alonso)	Lopez de Haro (Alonso)
López de Valcárcel (D. Ignatio)	López de Valcárcel (D Ignatio)
Lopez de Vega (Feliz)	Lopez de Vega (Feliz)
Lopez (Diego)	Lopez (Diego)
Lopez (dñiz)	Lopez (dñiz)
Lopez (Jo Ludovico)	Lopez (Jo Ludovico)
Lopez (Joannis Lutovici)	Lopez (Joannis Lutovici)
Lopez Madexa (D. Gregorio)	Lopez Madexa (D Gregorio)
Lorca (Pedro Guerra)	Lorca (Pedro Guerra)
Loredano (Juan Francisco)	Loredano (Juan Francisco)
Lorenzana (Emmo. D. Francisco Antonio)	Lorenzana (Emmo D Francisco Antonio)
Losa (Andres de la)	Losa (Andres de la)
Losa (Francisca)	Losa (Francisca)
Losada (Ignacio)	Losada (Ignacio)
Loven (Card.)	Loven (Card.)
Loyo (D.D. Francisco)	Loyo (D Francisco)
Lozano (D.D. Christoval)	Lozano (D Christoval)
Lozano (P. Pedro)	Lozano (P Pedro)
Luca. (D. Caroli Ant.)	Luca (D Carlos Ant.)
Lucas. (Cardenal Juan Bautista)	Lucas (Juan Bautista)
Lucas. (Eminentissimo Juan Bautista)	Lucas (Eminentissimo Juan Bautista)
Lucas. (Sio Bautista)	Lucas (Sio Bautista)
Luciani. (cll. Annoci)	Luciani (cll Annoci)
Lucilius (C.)	Lucilius (C.)
Lucius (D. Pedro)	Lucius (D Pedro)
Lucius (D. Pedro R.)	Lucius (D Pedro R.)
Lucrecio (Tito)	Lucrecio (Tito)
Lucretius (T. Car.)	Lucretius (T Car.)
Ludovici (Petri Giovanni)	Luis (Pedro Giovanni)
Ludovicus (Joannis Petri)	Luis (Joannis Pedro)
Ludovicus (Juan Pet. f.)	Luis (Juan Pet f.)
Lujan (Pedro)	Lujan (Pedro)
Lulli (Cristoni)	Lulli (Cristoni)
Lulli (Raymundus)	Lulli (Raymundus)
Lupani (Vincentii)	Lupani (Vincentii)
Luque (Eduardo Malo De)	Luque (Eduardo Malo De)
Luzan (D. Ignacio)	Luzan (D Ignacio)
Lycosthene (Conrado)	Lycosthene (Conrado)
Lynami (Henricus)	Lynami (Henricus)
Lynius (Justus)	Lynius (Justus)
Mabilloni (Ion)	Mabilloni (Ion)
Macaru (Ion)	Macaru (Ion)
Macedo (Antonio Sousa de)	Macedo (Antonio Sousa de)
Macerlo (Fabio Sylvio)	Macerlo (Fabio Sylvio)
Macquer (El Doctor)	Macquer (El)
Macrobius (Aurelius Theodorus)	Macrobius (Aurelius Theodorus)
Madariaga (Fr. Juan)	Madariaga (Fr Juan)
Madden (D. Juan Fran.)	Madden (D Juan Fran.)
Madera (D. D. Gregorio Lopez)	Madera (D D Gregorio Lopez)
Madramani (D. Mariano)	Madramani (D Mariano)
Madrid (P. Fr. Alonso)	Madrid (P Fr Alonso)
Maestertii (Jacobus)	Maestertii (Jacobo)
Maffei (Iones Petrus)	Maffei (Iones Pedro)
Magdaleno (Fr. Bonaventura)	Magdaleno (Fr Bonaventura)
Magiri (Fobias)	Magiri (Fobias)
Magni (Joan Olans)	Magni (Joan Olans)
Magro (D. Santiago)	Magro (D Santiago)
Mainoldi Salerati (Jacobi)	Mainoldi Salerati (Jacobo)
Maitaire (Mich.)	Maitaire (Mich.)
Maldonado (D. Jose)	Maldonado (D Jose)
Maldonado (Jo)	Maldonado (Jo)
Maldonado (Joanes)	Maldonado (Joanes)
Maldonatii (Jo)	Maldonatii (Jo)
Mallinekrot (Bernardi)	Mallinekrot (Bernardo)
Mallinekrot (Bernardo)	Mallinekrot (Bernardo)
Malo de Medina (Franciscus)	Malo de Medina (Francisco)
Malte (Herman Francois)	Malte (Herman Francois)
Maluenda (Fr. Tomas)	Maluenda (Fr Tomas)
Maluenda (Jacinto)	Maluenda (Jacinto)
Malvessi (Virgili)	Malvessi (Virgili)
Manassis (Constantini)	Manassis (Constantini)
Manenii (P. Jacobi)	Manenii (P Jacobo)
Mani (P. Juan Bautista)	Mani (P Juan Bautista)
Manini (Celsi)	Manini (Celsi)
Männeri (Eusebii)	Männeri (Eusebii)
Manpin (Mr.)	Manpin (Mr.)
Manrique (D. Jorge)	Manrique (D Jorge)
Manrique (F. Angelo)	Manrique (F Angelo)
Manroy (Fr. Henrico)	Manroy (Fr Henrico)
Manso de Contreras (Dn Christoval)	Manso de Contreras (Dn Christoval)
Mantuano (Pedro)	Mantuano (Pedro)
Mantuanus (Baptistae)	Mantuanus (Baptistae)
Manuel.. (D. Fran. Co)	Manuel (D Fran Co)
Manuel (D. Francisco)	Manuel (D Francisco)
Manutius (Aldus)	Manutius (Aldus)
Manutius (Paulus)	Manutius (Pablo)
Manzanares (F. Blas de)	Manzanares (F Blas de)
Manzanas (Eugenio)	Manzanas (Eugenio)
Manzano (Ramos de)	Manzano (Ramos de)
Mañer (D. Salvador)	Mañer (D Salvador)
Marano (Guill.)	Marano (Guill.)
Marca (D. Petri)	Marca (D Pedro)
Marca (Illmi D. Petri de)	Marca (Illmi D Pedro de)
Marca (Mr. Pierre de)	Marca (Mr Pedro de)
Marca (Petri de)	Marca (Pedro de)
Marcelaer (Federici)	Marcelaer (Federici)
Marcellini (Hmman)	Marcellini (Hmman)
Marcellus (Petro)	Marcellus (Petro)
March (D. Joa Ignacio de)	March (D Joa Ignacio de)
Marchand (Mr Propèr)	Marchand (Mr Propèr)
Marcii (Mamlii)	Marcii (Mamlii)
Marckarti (Jo Guili)	Marckarti (Jo Guili)
Maresii (Rolandi)	Maresii (Rolandi)
Marg.... (D.º D.º Josef Michili)	Marg (º º Josef Michili)
Marg.... (D.º Manuel)	Marg (º Manuel)
Marg.... (Fr. Juan)	Marg (Fr Juan)
Marguechi (D.º Petri Sanz)	Marguechi (º Pedro Sanz)
Mariana (Jo)	Mariana (Jo)
Marieta (F. Juan)	Marieta (F Juan)
Marin Alfocea (Dn Juan Antonio)	Marin Alfocea (Dn Juan Antonio)
Marin (Dn Joaquin)	Marin (Dn Joaquin)
Marin (P. Juan)	Marin (P Juan)
Marin y Mendoza (Dn Joaquin)	Marin y Mendoza (Dn Joaquin)
Marinal (Comte de Saxe)	Marinal (Comte de Saxe)
Marineri (Valentini Vincentii)	Marineri (Valentini Vincentii)
Mariz (Pedro de)	Mariz (Pedro de)
Marmens Simlus (Lucius)	Marmens Simlus (Lucius)
Marmol Carbalal (Luis)	Marmol Carbalal (Luis)
Marnix (Mr. Jean)	Marnix (Mr Juan)
Marovellis Ruelba (D.º Fran. y otros)	Marovellis Ruelba (º Fran y otros)
Marques de Medina (D.º Marco)	de Medina (º Marco)
Marques de Prado (Dn Alonso)	de Prado (Dn Alonso)
Marquez (M. Fr. Jo)	Marquez (M Fr Jo)
Martel... (Geronymo)	Martel (Geronymo)
Marti y Villadamor (D. Francisco)	Marti y Villadamor (D Francisco)
Martialis (M. Valerii)	Martialis (M Valerii)
Martin (M.)	Martin (M.)
Martinage (M.º Ancheman de)	Martinage (M.º Ancheman de)
Martinez a Villar (D. Michaele)	Martinez a Villar (D Michaele)
Martínez (Alfonso)	Martínez (Alfonso)
Martinez (D. D. Martin)	Martinez (D D Martin)
Martinez (D. Vicente)	Martinez (D Vicente)
Martínez de Cisneros (Fr. Diego)	Martínez de Cisneros (Fr Diego)
Martínez Gómez Gayoso (D. Benito)	Martínez Gómez Gayoso (D Benito)
Martínez (Licenciado D. Manuel Silvestre)	Martínez (Licenciado D Manuel Silvestre)
Martinez (Martini)	Martinez (Martini)
Martínez (Martini)	Martínez (Martini)
Martínez (R. P. Juan)	Martínez (R P Juan)
Martínez Salazar (D. Antonio)	Martínez Salazar (D Antonio)
Martínez Valduendo (D. Juan de)	Martínez Valduendo (D Juan de)
Martini (Car. Ant.)	Martini (Car Ant.)
Martini (Enmanuelis)	Martini (Enmanuelis)
Martini (Jo)	Martini (Jo)
Martiniere (M. Bruzon dela)	Martiniere (M Bruzon dela)
Martinio (P. Martin)	Martinio (P Martin)
Martinybus (Venerabilis D. J. Bartolomeus)	Martinybus (Venerabilis D J Bartolomeus)
Martirrigo (Juan Pablo)	Martirrigo (Juan Pablo)
Martiz Caminha (Gregorio)	Martiz Caminha (Gregorio)
Marton (P. Fr. Benito)	Marton (P Fr Benito)
Martorel y de Luna (Fran.)	Martorel y de Luna (Fran.)
Marvila (Petrum Vincentium)	Marvila (Petrum Vincentium)
Marville (Mr. de Vigneul)	Marville (Mr de Vigneul)
Marxilis (M. Antonii)	Marxilis (M Antonio)
Mascardi (Agostino)	Mascardi (Agostino)
Mascardi (Augustinii)	Mascardi (Augustinii)
Mascardo (Alderano)	Mascardo (Alderano)
Mascareñas (D. Geronymo)	Mascareñas (D Geronymo)
Mascovi (Gotfridii)	Mascovi (Gotfridii)
Mascovii (Dn Jo. Jac.)	Mascovii (Dn Jo Jac.)
Mascovii (Jo. Jac.)	Mascovii (Jo Jac.)
Masogni (Jacobi)	Masogni (Jacobo)
Massigues (Señor Felix)	Massigues (Felix)
Massomi (Papirii)	Massomi (Papirii)
Mastricht (Gert. Von)	Mastricht (Gert Von)
Mastrillo (Dn Garcia)	Mastrillo (Dn Garcia)
Mata (Juandela)	Mata (Juandela)
Matamoros (Alphonsi Garciae)	Matamoros (Alphonsi Garciae)
Matas (Josef)	Matas (Josef)
Matheo (Antonii)	Matheo (Antonio)
Matienco (Jo.)	Matienco (Jo.)
Matienzi (Dn Joa.)	Matienzi (Dn Joa.)
Matienzo Deza (Io. de)	Matienzo Deza (Io de)
Matienzo (Joannis)	Matienzo (Joannis)
Matienzo (Sebastiani de)	Matienzo (Sebastiani de)
Matthieu et Sans (D.D. Laurent.)	Matthieu et Sans (D Laurent.)
Matute de Acevedo (D.º Ferdinandi)	Matute de Acevedo (º Ferdinandi)
Maurisean (D.º Francisco)	Maurisean (º Francisco)
Maximi (Firi)	Maximi (Firi)
Mayans... (D. Juan Antonio)	Mayans (D Juan Antonio)
Mayans y Siscar (D. Gregorio)	Mayans y Siscar (D Gregorio)
Mayans, y Siscar (D. Gregorio)	Mayans y Siscar (D Gregorio)
Mayeri... (Jo. Friderici)	Mayeri (Jo Friderici)
Mayerum (Jacobum)	Mayerum (Jacobum)
Maymi... (D. Josephi)	Maymi (D Josephi)
Maymo, y Rives (D. Josef.)	Maymo y Rives (D Josef.)
Mayor (Carolus)	Mayor (Carlos)
Mecolaeta (P. F. Diego)	Mecolaeta (P F Diego)
Medina (Barba)	Medina (Barba)
Medina, Conde (D.º Christoval de)	Medina (º Christoval de)
Medina (D. Antonio)	Medina (D Antonio)
Medina (D. D. Christoval)	Medina (D D Christoval)
Medina (M. Fr. Juan de)	Medina (M Fr Juan de)
Medina (M. Fr. Pedro de)	Medina (M Fr Pedro de)
Medrano (D. Didacus de)	Medrano (D Didacus de)
Medrano (D. Felipe)	Medrano (D Felipe)
Medrano (D. Sebastián)	Medrano (D Sebastián)
Meerman (Gerardi)	Meerman (Gerardi)
Meery (Melchior)	Meery (Melchior)
Meibomii (Jo. Henr.)	Meibomii (Jo Henr.)
Meisteri (D. Christian. Frid. Georg.)	Meisteri (D Christian Frid Georg.)
Mela (Pompinii)	Mela (Pompinii)
Melendez Valdes (D. Juan)	Melendez Valdes (D Juan)
Melii de Sausa (Joannis)	Melii de Sausa (Joannis)
Melo... (Siz. Luis Sanchez)	Melo (Siz Luis Sanchez)
Melo y Siron (DD. Juan)	Melo y Siron (DD Juan)
Mena de Tovar (Dn Yldefonsus)	Mena de Tovar (Dn Yldefonsus)
Mena (Fernando de)	Mena (Fernando de)
Mena (Juan de)	Mena (Juan de)
Menae Damasceni (Joannis)	Menae Damasceni (Joannis)
Menage (Mr.)	Menage (Mr.)
Menagi (Aegidii)	Menagi (Aegidii)
Menchenii (Jo. Burchardi)	Menchenii (Jo Burchardi)
Mendez de Castro (Emmanuelis)	Mendez de Castro (Emmanuelis)
Mendez de Vasconcelos (Luis)	Mendez de Vasconcelos (Luis)
Mendez (P. Fr. Fran.)	Mendez (P Fr Fran.)
Mendez Silva (Rodrigo)	Mendez Silva (Rodrigo)
Mendo (R.P. Andres)	Mendo (R.P Andres)
Mendoza (D. Antonio Hurtado de)	Mendoza (D Antonio Hurtado de)
Mendoza (D. Bernardino)	Mendoza (D Bernardino)
Mendoza (D. Diego)	Mendoza (D Diego)
Mendoza (D. Fernando)	Mendoza (D Fernando)
Mendoza (D. Francisco)	Mendoza (D Francisco)
Mendoza (Dn Pedro Hurtado de)	Mendoza (Dn Pedro Hurtado de)
Mendoza (Hernando de)	Mendoza (Hernando de)
Mendoza (Iñigo Lopez Marques de Santillana)	Mendoza (Iñigo Lopez de Santillana)
Menenes (Sebastian)	Menenes (Sebastian)
Meneses (Dn Luis de)	Meneses (Dn Luis de)
Menesez (Dn Luis de)	Menesez (Dn Luis de)
Menesez (Dn Pedro de)	Menesez (Dn Pedro de)
Menestrier (Joan Baptistae)	Menestrier (Joan Baptistae)
Menochio (R.P. Joannis Stephani)	Menochio (R.P Joannis Esteban)
Menochio (Sig.)	Menochio (Sig.)
Mera (Christoval de)	Mera (Christoval de)
Mera (Dn Pedro Jose de)	Mera (Dn Pedro Jose de)
Mercado (Fr. Pedro)	Mercado (Fr Pedro)
Mercado (Fr. Thomas)	Mercado (Fr Tomás)
Mercado (Ludovicii)	Mercado (Ludovicii)
Mercator (Bartholomaeus)	Mercator (Bartholomaeus)
Mercerii (Jo.)	Mercerii (Jo.)
Merillii (Emundi)	Merillii (Emundi)
Merino (P. Andres)	Merino (P Andres)
Merulae (Georgii)	Merulae (Jorge)
Messiae (Ludovii)	Messiae (Ludovii)
Mexia (Diego)	Mexia (Diego)
Mexia (Pedro)	Mexia (Pedro)
Mey... (Filipo)	Mey (Filipo)
Michel (Augustino)	Michel (Augustino)
Micraely (Joh)	Micraely (Joh)
Middendorpio (Jacobo)	Middendorpio (Jacobo)
Mieres (Thomas)	Mieres (Tomás)
Mina (Marques de la)	Mina (de la)
Minaya (Dn Francisco)	Minaya (Dn Francisco)
Minei Felicis (Martiani)	Minei Felicis (Martiani)
Mirabeau (Marques de)	Mirabeau
